system:index,id,.geo
1_1_LT05_022039_19920311,1_1_LT05_022039_19920311,
1_1_LT05_022039_19920327,1_1_LT05_022039_19920327,
1_1_LT05_022039_19920412,1_1_LT05_022039_19920412,
1_1_LT05_022039_19920514,1_1_LT05_022039_19920514,
1_1_LT05_022039_19920615,1_1_LT05_022039_19920615,
1_1_LT05_022039_19920818,1_1_LT05_022039_19920818,
1_1_LT05_022039_19920903,1_1_LT05_022039_19920903,
1_1_LT05_022039_19920919,1_1_LT05_022039_19920919,
1_1_LT05_022039_19921005,1_1_LT05_022039_19921005,
1_1_LT05_022039_19921021,1_1_LT05_022039_19921021,
1_1_LT05_022039_19921106,1_1_LT05_022039_19921106,
1_1_LT05_022039_19921122,1_1_LT05_022039_19921122,
1_1_LT05_022039_19921208,1_1_LT05_022039_19921208,
1_1_LT05_022039_19921224,1_1_LT05_022039_19921224,
1_1_LT05_022039_19930125,1_1_LT05_022039_19930125,
1_1_LT05_022039_19930210,1_1_LT05_022039_19930210,
1_1_LT05_022039_19930226,1_1_LT05_022039_19930226,
1_1_LT05_022039_19930314,1_1_LT05_022039_19930314,
1_1_LT05_022039_19930415,1_1_LT05_022039_19930415,
1_1_LT05_022039_19930517,1_1_LT05_022039_19930517,
1_1_LT05_022039_19930602,1_1_LT05_022039_19930602,
1_1_LT05_022039_19930618,1_1_LT05_022039_19930618,
1_1_LT05_022039_19930704,1_1_LT05_022039_19930704,
1_1_LT05_022039_19930720,1_1_LT05_022039_19930720,
1_1_LT05_022039_19930805,1_1_LT05_022039_19930805,
1_1_LT05_022039_19930821,1_1_LT05_022039_19930821,
1_1_LT05_022039_19930906,1_1_LT05_022039_19930906,
1_1_LT05_022039_19930922,1_1_LT05_022039_19930922,
1_1_LT05_022039_19931008,1_1_LT05_022039_19931008,
1_1_LT05_022039_19931211,1_1_LT05_022039_19931211,
1_1_LT05_022039_19931227,1_1_LT05_022039_19931227,
1_1_LT05_022039_19940317,1_1_LT05_022039_19940317,
1_1_LT05_022039_19940402,1_1_LT05_022039_19940402,
1_1_LT05_022039_19940418,1_1_LT05_022039_19940418,
1_1_LT05_022039_19940504,1_1_LT05_022039_19940504,
1_1_LT05_022039_19940520,1_1_LT05_022039_19940520,
1_1_LT05_022039_19940605,1_1_LT05_022039_19940605,
1_1_LT05_022039_19940621,1_1_LT05_022039_19940621,
1_1_LT05_022039_19940707,1_1_LT05_022039_19940707,
1_1_LT05_022039_19940723,1_1_LT05_022039_19940723,
1_1_LT05_022039_19940808,1_1_LT05_022039_19940808,
1_1_LT05_022039_19940824,1_1_LT05_022039_19940824,
1_1_LT05_022039_19940909,1_1_LT05_022039_19940909,
1_1_LT05_022039_19940925,1_1_LT05_022039_19940925,
1_1_LT05_022039_19941027,1_1_LT05_022039_19941027,
1_1_LT05_022039_19941214,1_1_LT05_022039_19941214,
1_1_LT05_022039_19950131,1_1_LT05_022039_19950131,
1_1_LT05_022039_19950320,1_1_LT05_022039_19950320,
1_1_LT05_022039_19950421,1_1_LT05_022039_19950421,
1_1_LT05_022039_19950507,1_1_LT05_022039_19950507,
1_1_LT05_022039_19950523,1_1_LT05_022039_19950523,
1_1_LT05_022039_19950608,1_1_LT05_022039_19950608,
1_1_LT05_022039_19950624,1_1_LT05_022039_19950624,
1_1_LT05_022039_19950710,1_1_LT05_022039_19950710,
1_1_LT05_022039_19950726,1_1_LT05_022039_19950726,
1_1_LT05_022039_19950811,1_1_LT05_022039_19950811,
1_1_LT05_022039_19950827,1_1_LT05_022039_19950827,
1_1_LT05_022039_19950912,1_1_LT05_022039_19950912,
1_1_LT05_022039_19950928,1_1_LT05_022039_19950928,
1_1_LT05_022039_19951115,1_1_LT05_022039_19951115,
1_1_LT05_022039_19951201,1_1_LT05_022039_19951201,
1_1_LT05_022039_19960102,1_1_LT05_022039_19960102,
1_1_LT05_022039_19960118,1_1_LT05_022039_19960118,
1_1_LT05_022039_19960203,1_1_LT05_022039_19960203,
1_1_LT05_022039_19960322,1_1_LT05_022039_19960322,
1_1_LT05_022039_19960407,1_1_LT05_022039_19960407,
1_1_LT05_022039_19960525,1_1_LT05_022039_19960525,
1_1_LT05_022039_19960610,1_1_LT05_022039_19960610,
1_1_LT05_022039_19960626,1_1_LT05_022039_19960626,
1_1_LT05_022039_19960712,1_1_LT05_022039_19960712,
1_1_LT05_022039_19960728,1_1_LT05_022039_19960728,
1_1_LT05_022039_19960813,1_1_LT05_022039_19960813,
1_1_LT05_022039_19960829,1_1_LT05_022039_19960829,
1_1_LT05_022039_19960914,1_1_LT05_022039_19960914,
1_1_LT05_022039_19960930,1_1_LT05_022039_19960930,
1_1_LT05_022039_19961016,1_1_LT05_022039_19961016,
1_1_LT05_022039_19961101,1_1_LT05_022039_19961101,
