system:index,id,.geo
1_1_LT05_036034_19940623,1_1_LT05_036034_19940623,
1_1_LT05_036034_19940709,1_1_LT05_036034_19940709,
1_1_LT05_036034_19940725,1_1_LT05_036034_19940725,
1_1_LT05_036034_19940810,1_1_LT05_036034_19940810,
1_1_LT05_036034_19940826,1_1_LT05_036034_19940826,
1_1_LT05_036034_19940911,1_1_LT05_036034_19940911,
1_1_LT05_036034_19940927,1_1_LT05_036034_19940927,
1_1_LT05_036034_19941013,1_1_LT05_036034_19941013,
1_1_LT05_036034_19950509,1_1_LT05_036034_19950509,
1_1_LT05_036034_19950525,1_1_LT05_036034_19950525,
1_1_LT05_036034_19950610,1_1_LT05_036034_19950610,
1_1_LT05_036034_19950626,1_1_LT05_036034_19950626,
1_1_LT05_036034_19950712,1_1_LT05_036034_19950712,
1_1_LT05_036034_19950728,1_1_LT05_036034_19950728,
1_1_LT05_036034_19950813,1_1_LT05_036034_19950813,
1_1_LT05_036034_19950829,1_1_LT05_036034_19950829,
1_1_LT05_036034_19950930,1_1_LT05_036034_19950930,
1_1_LT05_036034_19951016,1_1_LT05_036034_19951016,
1_1_LT05_036034_19960511,1_1_LT05_036034_19960511,
1_1_LT05_036034_19960527,1_1_LT05_036034_19960527,
1_1_LT05_036034_19960612,1_1_LT05_036034_19960612,
1_1_LT05_036034_19960628,1_1_LT05_036034_19960628,
1_1_LT05_036034_19960714,1_1_LT05_036034_19960714,
1_1_LT05_036034_19960730,1_1_LT05_036034_19960730,
1_1_LT05_036034_19960815,1_1_LT05_036034_19960815,
1_1_LT05_036034_19960831,1_1_LT05_036034_19960831,
1_1_LT05_036034_19960916,1_1_LT05_036034_19960916,
1_1_LT05_036034_19961018,1_1_LT05_036034_19961018,
1_1_LT05_036034_19970514,1_1_LT05_036034_19970514,
1_1_LT05_036034_19970530,1_1_LT05_036034_19970530,
1_1_LT05_036034_19970615,1_1_LT05_036034_19970615,
1_1_LT05_036034_19970701,1_1_LT05_036034_19970701,
1_1_LT05_036034_19970717,1_1_LT05_036034_19970717,
1_1_LT05_036034_19970802,1_1_LT05_036034_19970802,
1_1_LT05_036034_19970818,1_1_LT05_036034_19970818,
1_1_LT05_036034_19970903,1_1_LT05_036034_19970903,
1_1_LT05_036034_19970919,1_1_LT05_036034_19970919,
1_1_LT05_036034_19971005,1_1_LT05_036034_19971005,
1_1_LT05_036034_19971021,1_1_LT05_036034_19971021,
1_1_LT05_036034_19980501,1_1_LT05_036034_19980501,
1_1_LT05_036034_19980517,1_1_LT05_036034_19980517,
1_1_LT05_036034_19980602,1_1_LT05_036034_19980602,
1_1_LT05_036034_19980618,1_1_LT05_036034_19980618,
1_1_LT05_036034_19980704,1_1_LT05_036034_19980704,
1_1_LT05_036034_19980720,1_1_LT05_036034_19980720,
1_1_LT05_036034_19980805,1_1_LT05_036034_19980805,
1_1_LT05_036034_19980821,1_1_LT05_036034_19980821,
1_1_LT05_036034_19980906,1_1_LT05_036034_19980906,
1_1_LT05_036034_19980922,1_1_LT05_036034_19980922,
1_1_LT05_036034_19981008,1_1_LT05_036034_19981008,
1_1_LT05_036034_19981024,1_1_LT05_036034_19981024,
1_1_LT05_036034_19990504,1_1_LT05_036034_19990504,
1_1_LT05_036034_19990621,1_1_LT05_036034_19990621,
1_1_LT05_036034_19990707,1_1_LT05_036034_19990707,
1_1_LT05_036034_19990723,1_1_LT05_036034_19990723,
1_1_LT05_036034_19990808,1_1_LT05_036034_19990808,
